Vf,mflux_part,dpdz
2.9,0,12.07
4.93,0,12.92
5.87,0,13.51
7.78,0,14.69
9.99,0,16.18
1.03,0,11.22
12.11,0,18.25
5.2,5.1,27.08
5.95,5.1,26.39
8.06,5.1,26.9
10.14,5.1,29.35
3.84,10.5,63.3
4.91,10.5,44.52
6.27,10.5,37.98
8.06,10.5,35.29
9.89,10.5,39.04
12.37,10.5,40.82
5.27,19.6,71.6
5.85,19.6,65.11
8.25,19.6,50.76
10.4,19.6,51.91
4.78,31.8,121.95
6.71,31.8,85.7
8.21,31.8,72.05
10.51,31.8,66.74
12.23,31.8,69.86
6.43,49.1,143.13
8.22,49.1,103.66
10.08,49.1,97.09
12.73,49.1,94.99
6.58,59,172.16
8.05,59,139.16
10.84,59,113.82
12.34,59,119.53
9.02,80.7,143.61
10.63,80.7,129.31
12.63,80.7,131.12
11.04,141,248
