Vf,mflux_part,frictPressGrad
1.04,0,0.322
2.85,0,0.92
4.87,0,1.939
5.87,0,2.554
7.71,0,3.788
9.94,0,5.863
12.11,0,7.515
5.16,5.1,2.145
5.90,5.1,4.888
8.03,5.1,9.299
10.09,5.1,13.499
3.77,10.5,-11.619
4.87,10.5,1.09
6.22,10.5,5.942
9.84,10.5,15.839
12.32,10.5,21.728
5.23,19.6,-6.769
5.87,19.6,-5.085
8.21,19.6,11.629
10.33,19.6,18.799
4.80,31.8,-38.803
6.68,31.8,-1.495
8.24,31.8,10.78
10.51,31.8,20.068
12.25,31.8,29.156
6.40,49.1,-32.046
10.05,49.1,23.473
12.71,49.1,39.756
6.54,59,-23.985
7.99,59,13.119
10.79,59,36.19
12.25,59,54.408
9.02,80.7,0.365
10.58,80.7,26.221
12.57,80.7,46.338
11.01,141,27.909
