Vf,mflux_part,Vp
5.176661717,5.1,3.611214953
5.931504935,5.1,4.68411215
8.063481527,5.1,7.170093458
10.09732728,5.1,9.656074766
3.79836667,10.5,1.700934579
4.946956066,10.5,3.297196262
6.291990567,10.5,4.971962617
8.031260372,10.5,7.379439252
9.867315923,10.5,9.211214953
12.39248843,10.5,11.98504673
5.305852039,19.6,2.904672897
5.895615338,19.6,3.323364486
10.35735872,19.6,8.94953271
8.259620928,19.6,7.117757009
4.780714473,31.8,2.145794393
6.715512272,31.8,4.239252336
8.290619268,31.8,6.385046729
10.5546598,31.8,9.394392523
12.22630797,31.8,10.85981308
6.418184994,49.1,2.98317757
8.256686173,49.1,5.861682243
10.09292515,49.1,7.771962617
12.71677876,49.1,10.78130841
7.992986287,59,4.998130841
10.81438554,59,8.557009346
12.25816228,59,10.49345794
9.042160887,80.7,6.044859813
10.61818499,80.7,8.58317757
12.58593764,80.7,10.78130841
11.00618395,141,6.646728972
