Vp,mflux_part,partFrictFactor
3.590394319,5.1,0.002691086
4.670024295,5.1,0.010071015
7.103148944,5.1,0.014973837
9.571267053,5.1,0.016396001
1.586479163,10.5,-0.071445524
3.219659877,10.5,-0.000994207
4.908110634,10.5,0.006015698
7.274715007,10.5,0.007628481
9.133358251,10.5,0.011354887
11.87246309,10.5,0.011430574
2.919762661,19.6,-0.014155298
3.256615586,19.6,-0.010277518
7.106157728,19.6,0.006076434
8.830190619,19.6,0.007864885
2.055195291,31.8,-0.057506074
4.167099608,31.8,-0.002708839
6.329172117,31.8,0.003733882
9.338347972,31.8,0.005170996
10.79204822,31.8,0.006371706
2.922640628,49.1,-0.022665857
5.788637638,49.1,0.002171557
7.681424033,49.1,0.004931788
3.088646982,59,-0.013570361
4.976723977,59,0.00311624
8.526434311,59,0.006115679
10.48731078,59,0.007523827
5.958568492,80.7,-0.000338255
8.527415436,80.7,0.003214352
10.75882078,80.7,0.004629976
3.088646982,80.7,-0.013570361
6.633974958,141,0.002388339
