phi,mflux_part,Vsl
0.00020979,5.1,0.482099788
0.00027972,5.1,0.954296186
0.0004662,5.1,1.282208479
0.000582751,5.1,1.571450386
0.00032634,10.5,0.44378871
0.0004662,10.5,0.723441619
0.000862471,10.5,1.379311119
0.001328671,10.5,1.678860638
0.002634033,10.5,2.211240911
0.000909091,19.6,1.495007882
0.001142191,19.6,1.148636206
0.002447552,19.6,2.596238059
0.002797203,19.6,2.423501354
0.001212121,31.8,1.485957844
0.001398601,31.8,1.187665899
0.002051282,31.8,1.959636382
0.003100233,31.8,2.578227809
0.006177156,31.8,2.747932864
0.001864802,49.1,1.99781272
0.002610723,49.1,2.432775959
0.003449883,49.1,2.463294573
0.006806527,49.1,3.548760167
0.002284382,59,1.825210756
0.002797203,59,2.317528329
0.004778555,59,3.063157138
0.007715618,59,3.511976142
0.003053613,80.7,1.913398098
0.003846154,80.7,2.107603379
0.005501166,80.7,3.12235292
0.008694639,141,4.55432493
